iter	Logloss
0	0.6750888853
1	0.6567651906
2	0.6383958063
3	0.6219585846
4	0.606003662
5	0.5878716002
6	0.5742019449
7	0.5636231698
8	0.5512134586
9	0.5397432584
10	0.5273439665
11	0.518061734
12	0.5075154981
13	0.4979728546
14	0.4890856448
15	0.4803728568
16	0.4720683354
17	0.4642983879
18	0.4584026379
19	0.4526624916
20	0.4464559398
21	0.4394461187
22	0.4356403201
23	0.4315042754
24	0.4267526593
25	0.4218780601
26	0.4165530807
27	0.4128264158
28	0.4081801383
29	0.4044471024
30	0.4018151697
31	0.3980530818
32	0.3942428559
33	0.3906559173
34	0.387529734
35	0.3846611152
36	0.3823951061
37	0.3807238683
38	0.3783435923
39	0.3755628979
40	0.3739256254
41	0.3713671773
42	0.3690075511
43	0.3670484065
44	0.3650555445
45	0.3626844061
46	0.360537439
47	0.3592235015
48	0.3576004526
49	0.3560644899
50	0.3539007264
51	0.3529456616
52	0.3516539103
53	0.3500102739
54	0.3486082465
55	0.3472136143
56	0.3455406154
57	0.3442423713
58	0.3434123444
59	0.3417950558
60	0.3408879965
61	0.3400744693
62	0.3390242543
63	0.3380924181
64	0.3372196706
65	0.3360281779
66	0.33520115
67	0.3345766758
68	0.3338310052
69	0.3328879913
70	0.3323309389
71	0.3312870494
72	0.330600199
73	0.3298674718
74	0.3288868183
75	0.3280328477
76	0.3271191791
77	0.3262889302
78	0.3253879866
79	0.3246350379
80	0.3242110126
81	0.3233143012
82	0.3228408074
83	0.3220786534
84	0.3215967764
85	0.3211289657
86	0.3208103034
87	0.3203681736
88	0.3196945046
89	0.3193013941
90	0.318670681
91	0.3180273041
92	0.3176121004
93	0.3170537169
94	0.3165569889
95	0.316040171
96	0.3154493712
97	0.3147930155
98	0.314202668
99	0.3138483504
100	0.3133828841
101	0.3130494153
102	0.3126283856
103	0.312151998
104	0.3115613907
105	0.3111799307
106	0.3107519324
107	0.3104600311
108	0.3101383704
109	0.3098191862
110	0.3093691904
111	0.3090181795
112	0.3086791751
113	0.3082536302
114	0.3079064807
115	0.3074780199
116	0.3071285022
117	0.3067564085
118	0.3064218566
119	0.3061232379
120	0.3058427401
121	0.3054451921
122	0.3051375161
123	0.3047615888
124	0.304384712
125	0.3039873429
126	0.3037216256
